stationid,Name,datetime,rrr24,tm_m
40857,Bushehr,5/1/1993 0:00,0.03,28.6387
40857,Bushehr,6/1/1993 0:00,0,29.9862
40857,Bushehr,7/1/1993 0:00,0,32.5133
40857,Bushehr,8/1/1993 0:00,0,33.4871
40857,Bushehr,9/1/1993 0:00,0,30.9533
40857,Bushehr,10/1/1993 0:00,16.1,27.9419
40857,Bushehr,11/1/1993 0:00,27.11,22.025
40857,Bushehr,12/1/1993 0:00,0,17.871
40857,Bushehr,1/1/1994 0:00,11.72,17.1926
40857,Bushehr,2/1/1994 0:00,0.12,15.9519
40857,Bushehr,3/1/1994 0:00,17.43,19.131
40857,Bushehr,4/1/1994 0:00,5.41,24.9533
40857,Bushehr,5/1/1994 0:00,4,28.9567
40857,Bushehr,6/1/1994 0:00,0,31.3385
40857,Bushehr,7/1/1994 0:00,0,31.7258
40857,Bushehr,8/1/1994 0:00,0,31.431
40857,Bushehr,9/1/1994 0:00,0,30.8033
40857,Bushehr,10/1/1994 0:00,1.6,27.79
40857,Bushehr,11/1/1994 0:00,139.43,22.832
40857,Bushehr,12/1/1994 0:00,50.8,15.008
40857,Bushehr,1/1/1995 0:00,11.1,15.3154
40857,Bushehr,2/1/1995 0:00,68.02,16.308
40857,Bushehr,3/1/1995 0:00,5.03,19.0867
40857,Bushehr,4/1/1995 0:00,16.13,23.4267
40857,Bushehr,5/1/1995 0:00,0.5,28.8433
40857,Bushehr,6/1/1995 0:00,0,31.1926
40857,Bushehr,7/1/1995 0:00,0,31.9379
40857,Bushehr,8/1/1995 0:00,0,32.6903
40857,Bushehr,9/1/1995 0:00,0,30.2643
40857,Bushehr,10/1/1995 0:00,0.2,26.5267
40857,Bushehr,11/1/1995 0:00,0,21.6692
40857,Bushehr,12/1/1995 0:00,157.02,15.8333
40857,Bushehr,1/1/1996 0:00,294.73,15.65
40857,Bushehr,2/1/1996 0:00,90.13,17.5963
40857,Bushehr,3/1/1996 0:00,65,19.1741
40857,Bushehr,4/1/1996 0:00,12.74,24.0148
40857,Bushehr,5/1/1996 0:00,1.01,29.22
40857,Bushehr,6/1/1996 0:00,0,30.9345
40857,Bushehr,7/1/1996 0:00,2.1,34.2321
40857,Bushehr,8/1/1996 0:00,0,33.8414
40857,Bushehr,9/1/1996 0:00,0,31.4067
40857,Bushehr,10/1/1996 0:00,0,26.63
40857,Bushehr,11/1/1996 0:00,4.22,21.7793
40857,Bushehr,12/1/1996 0:00,16.7,18.8724
40857,Bushehr,1/1/1997 0:00,84.51,16.1655
40857,Bushehr,2/1/1997 0:00,0.12,15.0261
40857,Bushehr,3/1/1997 0:00,130.38,17.337
40857,Bushehr,4/1/1997 0:00,15.23,22.0519
40857,Bushehr,5/1/1997 0:00,0.11,28.3414
40857,Bushehr,6/1/1997 0:00,0.01,31.8179
40857,Bushehr,7/1/1997 0:00,0,32.0852
40857,Bushehr,8/1/1997 0:00,0,31.5414
40857,Bushehr,9/1/1997 0:00,0,30.6133
40857,Bushehr,10/1/1997 0:00,32.71,27.8452
40857,Bushehr,11/1/1997 0:00,252.84,20.9103
40857,Bushehr,12/1/1997 0:00,143.24,16.712
